C1_VCO,L1_VCO,Rp_VCO,Wn_VCO,Wn6_VCO,Wvar_VCO,L1p_PA,L1s_PA,L3p_PA,L3s_PA,Wn1_PA,Wn2_PA,PowerConsumption,Bandwidth,OutputPower,VoltageSwing,TuningRange_VCO,PhaseNoise_VCO,LargeSignal_PowerGain_PA,DrainEfficiency_PA,PAE_PA
1e-13,1.2e-10,400,2e-06,8.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,1.6e-05,0.0373,4910000000.0,3.709,0.967,3400000000.0,-89.27,11.89,13.66,12.77
1e-13,1.2e-10,400,2e-06,8e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.6e-05,0.0413,6100000000.0,4.474,1.028,3620000000.0,-89.59,13.45,14.41,13.76
1e-13,1.2e-10,400,1.5e-06,8e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.6e-05,0.0393,5900000000.0,4.119,0.976,3770000000.0,-91.89,13.04,12.98,12.33
1e-13,1.2e-10,400,2e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.6e-05,0.0409,6100000000.0,4.472,1.026,3630000000.0,-89.49,13.47,14.4,13.76
1e-13,1.2e-10,400,2.5e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.6e-05,0.0419,6080000000.0,4.47,1.033,3130000000.0,-87.12,13.15,14.39,13.7
1e-13,1.2e-10,400,1.5e-06,8.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.6e-05,0.0395,5940000000.0,4.361,0.996,3980000000.0,-92.73,13.52,13.91,13.29
1e-13,1.2e-10,400,2.5e-06,8.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.6e-05,0.0429,6080000000.0,4.474,1.033,3110000000.0,-87.21,13.11,14.42,13.71
1e-13,1.2e-10,400,2e-06,8e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.1e-05,0.037,6950000000.0,4.403,1.059,3620000000.0,-89.67,14.57,16.7,16.09
1e-13,1.2e-10,400,2e-06,8e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.1e-05,0.037,7080000000.0,4.405,1.059,3410000000.0,-88.98,14.41,16.71,16.1
1e-13,1.2e-10,400,2.5e-06,8e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.1e-05,0.0381,6890000000.0,4.428,1.063,3120000000.0,-87.05,14.31,16.82,16.17
1e-13,1.2e-10,400,2e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.1e-05,0.0366,6950000000.0,4.401,1.058,3630000000.0,-89.62,14.59,16.69,16.08
1e-13,1.2e-10,400,2e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.1e-05,0.0366,6750000000.0,4.405,1.044,3810000000.0,-90.15,14.68,16.7,16.09
1e-13,1.2e-10,400,1.5e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.1e-05,0.0349,7090000000.0,4.362,1.043,4180000000.0,-93.21,14.98,16.51,15.96
1e-13,1.2e-10,400,2.5e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.1e-05,0.0376,6790000000.0,4.429,1.049,3330000000.0,-87.65,14.44,16.82,16.17
1e-13,1.2e-10,400,2.5e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.1e-05,0.0376,6890000000.0,4.425,1.062,3130000000.0,-86.99,14.33,16.8,16.16
1e-13,1.2e-10,400,2.5e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.1e-05,0.0376,6700000000.0,4.436,1.027,3510000000.0,-88.0,14.5,16.85,16.19
1e-13,1.2e-10,400,2e-06,8.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.1e-05,0.0373,7080000000.0,4.407,1.059,3400000000.0,-89.05,14.4,16.72,16.1
1e-13,1.2e-10,400,1.5e-06,8.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.1e-05,0.0352,7350000000.0,4.366,1.055,3980000000.0,-92.65,14.82,16.53,15.97
1e-13,1.2e-10,400,2.5e-06,8.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.1e-05,0.0386,6700000000.0,4.44,1.028,3490000000.0,-88.06,14.45,16.87,16.2
1e-13,1.2e-10,400,1.5e-06,8e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,1.6e-05,0.0329,5150000000.0,3.634,0.896,4170000000.0,-93.26,13.54,15.09,14.38
1e-13,1.2e-10,400,2.5e-06,8e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,1.6e-05,0.036,5480000000.0,3.608,0.912,3120000000.0,-87.07,12.94,15.04,14.25
1e-13,1.2e-10,400,2e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,1.6e-05,0.0345,5360000000.0,3.631,0.906,3630000000.0,-89.43,13.2,15.11,14.35
1e-13,1.2e-10,400,1.5e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,1.6e-05,0.0328,5130000000.0,3.677,0.928,3990000000.0,-92.49,13.58,15.25,14.5
1e-13,1.2e-10,400,2.5e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,1.6e-05,0.0354,5480000000.0,3.607,0.911,3130000000.0,-87.05,12.97,15.04,14.25
1e-13,1.2e-10,400,2.5e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,1.6e-05,0.0354,5480000000.0,3.198,0.82,3510000000.0,-88.3,12.85,13.6,12.89
1e-13,1.2e-10,400,2e-06,8.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,1.6e-05,0.0352,5360000000.0,3.633,0.903,3610000000.0,-89.61,13.17,15.12,14.36
1e-13,1.2e-10,400,2e-06,8.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,1.6e-05,0.0352,5420000000.0,3.702,0.941,3400000000.0,-89.18,13.19,15.4,14.59
1e-13,1.2e-10,400,2e-06,8.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,1.6e-05,0.0352,5390000000.0,3.484,0.866,3790000000.0,-90.25,13.12,14.57,13.84
1e-13,1.2e-10,400,1.5e-06,8.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,1.6e-05,0.0331,5430000000.0,3.67,0.962,3760000000.0,-91.92,13.53,15.22,14.48
1e-13,1.2e-10,400,1.5e-06,8.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,1.6e-05,0.0331,5150000000.0,3.635,0.896,4170000000.0,-93.33,13.53,15.09,14.38
1e-13,1.2e-10,400,2.5e-06,8.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,1.6e-05,0.0365,5490000000.0,3.198,0.825,3490000000.0,-88.33,12.81,13.6,12.89
1e-13,1.2e-10,400,2e-06,8e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0391,8010000000.0,4.141,0.99,3620000000.0,-89.57,14.48,14.52,14.01
1e-13,1.2e-10,400,2e-06,8e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0391,7910000000.0,4.064,0.978,3410000000.0,-89.0,14.11,14.2,13.64
1e-13,1.2e-10,400,2e-06,8e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0391,8060000000.0,4.107,1.005,3800000000.0,-90.2,14.74,14.41,13.92
1e-13,1.2e-10,400,1.5e-06,8e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0372,7880000000.0,3.879,0.938,3770000000.0,-91.86,14.11,13.48,12.95
1e-13,1.2e-10,400,1.5e-06,8e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0372,8260000000.0,4.06,0.978,4170000000.0,-93.22,14.9,14.19,13.73
1e-13,1.2e-10,400,2.5e-06,8e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0403,7870000000.0,4.172,1.002,3120000000.0,-87.37,14.18,14.66,14.1
1e-13,1.2e-10,400,2e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0388,8010000000.0,4.137,0.993,3630000000.0,-89.47,14.5,14.51,13.99
1e-13,1.2e-10,400,2e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0388,8060000000.0,4.102,1.004,3810000000.0,-90.12,14.76,14.38,13.9
1e-13,1.2e-10,400,1.5e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.037,8190000000.0,4.032,0.961,3990000000.0,-92.47,14.59,14.05,13.56
1e-13,1.2e-10,400,1.5e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.037,7880000000.0,3.877,0.939,3770000000.0,-91.78,14.13,13.46,12.94
1e-13,1.2e-10,400,1.5e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.037,8260000000.0,4.057,0.979,4180000000.0,-93.13,14.92,14.17,13.71
1e-13,1.2e-10,400,2.5e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0397,7920000000.0,4.167,1.014,3330000000.0,-87.65,14.49,14.67,14.15
1e-13,1.2e-10,400,2e-06,8.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0395,7910000000.0,4.067,0.978,3400000000.0,-89.08,14.1,14.21,13.65
1e-13,1.2e-10,400,1.5e-06,8.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0374,8190000000.0,4.038,0.959,3980000000.0,-92.64,14.56,14.07,13.58
1e-13,1.2e-10,400,1.5e-06,8.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0374,8250000000.0,4.063,0.976,4170000000.0,-93.3,14.89,14.2,13.74
1e-13,1.2e-10,400,2.5e-06,8.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0408,7910000000.0,4.176,1.013,3310000000.0,-87.77,14.45,14.71,14.18
1e-13,1.2e-10,400,2.5e-06,8.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0408,7870000000.0,4.175,1.001,3110000000.0,-87.13,14.16,14.67,14.11
1e-13,1.2e-10,400,2.5e-06,8.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.2e-05,2.6e-05,0.0408,7930000000.0,4.137,1.019,3490000000.0,-88.41,14.65,14.52,14.02
1e-13,1.2e-10,400,2e-06,8e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0413,5600000000.0,4.322,1.052,3800000000.0,-90.27,12.8,13.22,12.52
1e-13,1.2e-10,400,1.5e-06,8e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0393,5360000000.0,4.303,1.019,3990000000.0,-92.62,12.97,13.17,12.49
1e-13,1.2e-10,400,2.5e-06,8e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0424,5530000000.0,4.352,1.056,3320000000.0,-87.86,12.56,13.33,12.59
1e-13,1.2e-10,400,2.5e-06,8e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0424,5580000000.0,4.351,1.051,3490000000.0,-88.39,12.6,13.33,12.59
1e-13,1.2e-10,400,2e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0409,5420000000.0,4.354,1.028,3420000000.0,-88.95,12.6,13.36,12.61
1e-13,1.2e-10,400,2e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0409,5600000000.0,4.319,1.052,3810000000.0,-90.2,12.82,13.21,12.52
1e-13,1.2e-10,400,1.5e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0392,5360000000.0,4.301,1.02,3990000000.0,-92.54,12.98,13.16,12.49
1e-13,1.2e-10,400,1.5e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0392,5320000000.0,4.294,0.999,3770000000.0,-91.78,12.78,13.08,12.39
1e-13,1.2e-10,400,1.5e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0392,5490000000.0,4.28,1.037,4180000000.0,-93.23,13.11,13.07,12.43
1e-13,1.2e-10,400,2.5e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0419,5530000000.0,4.349,1.055,3330000000.0,-87.86,12.59,13.32,12.59
1e-13,1.2e-10,400,2.5e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0419,5480000000.0,4.359,1.045,3130000000.0,-87.34,12.5,13.38,12.62
1e-13,1.2e-10,400,2.5e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0419,5580000000.0,4.348,1.051,3500000000.0,-88.37,12.62,13.32,12.59
1e-13,1.2e-10,400,2e-06,8.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0416,5490000000.0,4.331,1.042,3610000000.0,-89.67,12.7,13.27,12.56
1e-13,1.2e-10,400,2e-06,8.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0416,5420000000.0,4.358,1.028,3400000000.0,-89.13,12.56,13.38,12.62
1e-13,1.2e-10,400,2e-06,8.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0416,5600000000.0,4.324,1.051,3790000000.0,-90.33,12.78,13.22,12.53
1e-13,1.2e-10,400,1.5e-06,8.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0395,5360000000.0,4.305,1.021,3980000000.0,-92.69,12.96,13.17,12.5
1e-13,1.2e-10,400,1.5e-06,8.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0395,5490000000.0,4.284,1.035,4170000000.0,-93.4,13.08,13.08,12.44
1e-13,1.2e-10,400,2.5e-06,8.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0429,5530000000.0,4.354,1.056,3310000000.0,-87.88,12.54,13.34,12.6
1e-13,1.2e-10,400,2.5e-06,8.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0429,5480000000.0,4.364,1.047,3110000000.0,-87.45,12.46,13.4,12.63
1e-13,1.2e-10,400,2.5e-06,8.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.1e-05,0.0429,5570000000.0,4.354,1.051,3480000000.0,-88.42,12.58,13.34,12.6
1e-13,1.2e-10,400,2e-06,8e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0391,5200000000.0,3.207,0.909,3620000000.0,-89.67,11.39,10.76,9.978
1e-13,1.2e-10,400,2e-06,8e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0391,5150000000.0,3.204,0.929,3410000000.0,-89.01,11.41,10.75,9.971
1e-13,1.2e-10,400,2e-06,8e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0391,5230000000.0,3.218,0.874,3800000000.0,-90.18,11.34,10.79,9.994
1e-13,1.2e-10,400,1.5e-06,8e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0372,5230000000.0,3.147,0.923,3990000000.0,-92.73,11.74,10.58,9.877
1e-13,1.2e-10,400,1.5e-06,8e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0372,5120000000.0,3.15,0.92,3770000000.0,-91.75,11.72,10.6,9.878
1e-13,1.2e-10,400,1.5e-06,8e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0372,5310000000.0,3.153,0.904,4170000000.0,-93.4,11.72,10.6,9.885
1e-13,1.2e-10,400,2.5e-06,8e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0403,5140000000.0,3.258,0.879,3320000000.0,-87.43,11.11,10.9,10.05
1e-13,1.2e-10,400,2.5e-06,8e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0403,5130000000.0,3.248,0.916,3120000000.0,-87.29,11.17,10.87,10.03
1e-13,1.2e-10,400,2.5e-06,8e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0403,5120000000.0,3.211,0.841,3490000000.0,-88.31,11.05,10.82,9.969
1e-13,1.2e-10,400,2e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0388,5150000000.0,3.201,0.929,3420000000.0,-88.92,11.43,10.74,9.966
1e-13,1.2e-10,400,2e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0388,5230000000.0,3.215,0.876,3810000000.0,-90.1,11.36,10.78,9.989
1e-13,1.2e-10,400,1.5e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.037,5230000000.0,3.144,0.922,4000000000.0,-92.62,11.76,10.58,9.873
1e-13,1.2e-10,400,1.5e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.037,5120000000.0,3.148,0.92,3780000000.0,-91.66,11.73,10.59,9.874
1e-13,1.2e-10,400,1.5e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.037,5310000000.0,3.151,0.898,4180000000.0,-93.28,11.73,10.59,9.88
1e-13,1.2e-10,400,2.5e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0397,5140000000.0,3.254,0.884,3330000000.0,-87.52,11.13,10.89,10.05
1e-13,1.2e-10,400,2.5e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0397,5130000000.0,3.245,0.915,3130000000.0,-87.25,11.19,10.86,10.03
1e-13,1.2e-10,400,2.5e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0397,5120000000.0,3.209,0.839,3510000000.0,-88.24,11.07,10.81,9.966
1e-13,1.2e-10,400,2e-06,8.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0395,5200000000.0,3.21,0.912,3610000000.0,-89.74,11.37,10.77,9.982
1e-13,1.2e-10,400,2e-06,8.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0395,5150000000.0,3.207,0.929,3400000000.0,-89.1,11.4,10.75,9.975
1e-13,1.2e-10,400,2e-06,8.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0395,5230000000.0,3.221,0.873,3790000000.0,-90.25,11.33,10.8,9.998
1e-13,1.2e-10,400,1.5e-06,8.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0374,5230000000.0,3.148,0.923,3980000000.0,-92.81,11.73,10.59,9.88
1e-13,1.2e-10,400,1.5e-06,8.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0374,5120000000.0,3.152,0.921,3770000000.0,-91.82,11.71,10.6,9.882
1e-13,1.2e-10,400,1.5e-06,8.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0374,5310000000.0,3.155,0.902,4170000000.0,-93.49,11.71,10.61,9.888
1e-13,1.2e-10,400,2.5e-06,8.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0408,5140000000.0,3.261,0.88,3310000000.0,-88.99,11.09,10.91,10.06
1e-13,1.2e-10,400,2.5e-06,8.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0408,5130000000.0,3.251,0.917,3110000000.0,-87.34,11.15,10.88,10.04
1e-13,1.2e-10,400,2.5e-06,8.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,1.6e-05,0.0408,5120000000.0,3.213,0.842,3480000000.0,-88.37,11.03,10.83,9.971
1e-13,1.2e-10,400,2e-06,8e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.6e-05,0.0434,5360000000.0,4.35,1.007,3620000000.0,-89.62,12.72,12.59,11.92
1e-13,1.2e-10,400,1.5e-06,8e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.6e-05,0.0415,5310000000.0,4.13,0.964,3990000000.0,-92.61,12.77,11.78,11.16
1e-13,1.2e-10,400,1.5e-06,8e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.6e-05,0.0415,5300000000.0,3.673,0.934,3770000000.0,-91.91,12.17,10.4,9.767
1e-13,1.2e-10,400,1.5e-06,8e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.6e-05,0.0415,5340000000.0,4.357,0.989,4170000000.0,-93.33,13.16,12.61,12.0
1e-13,1.2e-10,400,2.5e-06,8e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.6e-05,0.0446,5380000000.0,4.469,1.027,3320000000.0,-87.85,12.73,13.09,12.39
1e-13,1.2e-10,400,2.5e-06,8e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.6e-05,0.0446,5360000000.0,4.314,1.01,3120000000.0,-87.38,12.41,12.46,11.74
1e-13,1.2e-10,400,2.5e-06,8e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.6e-05,0.0446,5400000000.0,4.478,1.045,3490000000.0,-88.38,12.95,13.17,12.5
1e-13,1.2e-10,400,2e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.6e-05,0.0431,5360000000.0,4.348,1.005,3630000000.0,-89.5,12.74,12.58,11.91
1e-13,1.2e-10,400,2e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.6e-05,0.0431,5330000000.0,4.057,0.976,3420000000.0,-89.06,12.3,11.56,10.88
1e-13,1.2e-10,400,1.5e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.6e-05,0.0413,5300000000.0,3.67,0.936,3780000000.0,-91.83,12.18,10.39,9.762
1e-13,1.2e-10,400,1.5e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,3.2e-05,2.6e-05,0.0413,5340000000.0,4.355,0.987,4180000000.0,-93.23,13.18,12.6,12.0
