C1,C2,Ld,Lg,Ls,WN1,WN2,GTMax,S11Min,NFMin,Bandwidth,PowerConsumption
4.0327504724264144e-13,3.9147335290908815e-13,3.0073901414871215e-09,1.1425803923606872e-08,8.000801920890809e-10,5.49325624993071e-06,6.024442911148071e-06,15.169999999999998,-12.7,1.751,3959999999.9999995,0.017
5.388644725084305e-13,3.005216658115387e-13,4.130213737487794e-09,9.423647367954254e-09,5.988591551780701e-10,5.751653045415879e-06,5.621124505996704e-06,15.73,-17.11,1.777,4610000000.0,0.0175
3.292484074831009e-13,2.0552037954330446e-13,3.802507802844048e-09,9.409754374623299e-09,8.011417627334597e-10,5.496297894511372e-06,5.544259577989579e-06,14.5,-13.22,1.895,3860000000.0,0.0169
4.232323497533798e-13,2.0123325288295748e-13,3.812729626893997e-09,9.37267909348011e-09,7.459273576736451e-10,5.999079167842866e-06,5.612337738275529e-06,15.01,-14.63,1.883,3959999999.9999995,0.0181
5.242141127586364e-13,5.07875680923462e-13,3.809451282024384e-09,9.410243922472e-09,7.006513699889183e-10,6.008024096488953e-06,5.635716646909714e-06,15.89,-15.0,1.762,3900000000.0,0.0181
6.046315670013427e-13,5.077886521816254e-13,3.79330450296402e-09,9.36756662428379e-09,5.997267007827759e-10,4.994220077991486e-06,5.437138423323632e-06,14.96,-16.46,1.743,5380000000.0,0.0157
5.903890639543533e-13,2.0071868896484377e-13,3.5080365240573883e-09,8.307982885837556e-09,5.996489524841309e-10,5.251512780785561e-06,6.026206731796265e-06,14.26,-16.3,1.859,5710000000.0,0.0164
5.054682075977325e-13,1.9904763698577883e-13,3.781826913356781e-09,1.1452794456481933e-08,6.978372126817703e-10,5.7479402571916584e-06,5.130750596523285e-06,15.14,-14.29,1.829,4470000000.0,0.0174
5.155855849385261e-13,4.061233550310135e-13,3.942336469888687e-09,9.423881390690804e-09,5.984116196632385e-10,5.496019367594272e-06,5.563758552074433e-06,15.74,-16.75,1.752,4610000000.0,0.0169
3.261638581752777e-13,2.545523226261139e-13,3.851841002702713e-09,8.287714326381684e-09,7.455783784389497e-10,5.4983934075571606e-06,5.590379789471626e-06,14.82,-13.48,1.873,3840000000.0,0.0169
6.037014663219452e-13,2.010760307312012e-13,4.123127013444901e-09,1.0367146798968315e-08,5.992493629455567e-10,5.499876386951655e-06,5.5156978033483035e-06,14.9,-16.43,1.817,5430000000.0,0.0169
3.2504103183746336e-13,4.0674308836460115e-13,5.019771218299867e-09,8.348619782924653e-09,7.515810370445252e-10,4.997444868087769e-06,5.584186173975468e-06,14.95,-12.87,1.83,3540000000.0,0.0157
6.029538810253143e-13,2.503314107656479e-13,3.695148706436157e-09,1.1405172729492187e-08,7.484702497720719e-10,5.999711990356446e-06,5.644081488251686e-06,15.19,-13.83,1.796,4350000000.0,0.0181
5.844484359025955e-13,4.883696556091309e-13,3.639392375946045e-09,9.513374546170235e-09,6.996113196015358e-10,5.2459604740142825e-06,4.986518502235413e-06,14.85,-14.32,1.772,4690000000.0,0.0162
3.9633788019418714e-13,3.044705256819725e-13,4.967774868011475e-09,8.387020432949066e-09,5.983338952064515e-10,5.751211494207383e-06,5.613612070679665e-06,15.98,-17.34,1.806,3910000000.0,0.0175
4.0718774199485776e-13,3.326156467199326e-13,3.1858991384506223e-09,8.98758133649826e-09,5.983292698860169e-10,6.008015155792237e-06,5.121146470308304e-06,15.97,-17.53,1.786,4230000000.0,0.018
3.0951231122016906e-13,1.9692486524581911e-13,3.6774637103080748e-09,8.398860597610474e-09,6.012440323829651e-10,4.991374850273133e-06,5.58351930975914e-06,14.8,-15.6,1.862,4720000000.0,0.0157
5.834530413150787e-13,3.646621324121952e-13,4.995365977287293e-09,8.587513679265976e-09,7.466023027896881e-10,5.244113504886628e-06,5.980338990688325e-06,14.94,-13.53,1.825,3700000000.0000005,0.0164
3.310607761144638e-13,2.498361766338348e-13,4.1096346378326424e-09,1.0416323581337928e-08,8.017261028289796e-10,5.492098951712251e-06,5.52149422466755e-06,15.05,-13.01,1.829,3670000000.0,0.0169
4.030163392424583e-13,5.0457643866539e-13,3.025054931640625e-09,1.1372673386335372e-08,7.013562560081482e-10,6.005486011505127e-06,5.14570301771164e-06,16.19,-14.4,1.719,3740000000.0,0.018
3.02754870057106e-13,3.98827987909317e-13,3.7924038320779804e-09,1.139159288406372e-08,6.980748005211354e-10,6.002662181854248e-06,5.100927025079728e-06,16.47,-14.33,1.737,3440000000.0,0.018
6.011610031127929e-13,2.463997393846512e-13,3.006493806838989e-09,1.1332226747274399e-08,6.997985139489174e-10,6.006138920783997e-06,5.108215302228928e-06,15.05,-14.65,1.791,4620000000.0,0.018
6.0314701795578e-13,2.9236182272434235e-13,5.066238164901734e-09,9.4765128582716e-09,8.000638604164125e-10,5.243861973285675e-06,6.00132817029953e-06,14.689999999999998,-13.18,1.832,3730000000.0,0.0164
3.0269707739353176e-13,2.9010084569454196e-13,5.108993649482728e-09,1.0454820567369461e-08,7.448919832706452e-10,5.246734410524369e-06,5.527347899973393e-06,15.35,-13.23,1.791,3639999999.9999995,0.0163
4.241561248898506e-13,3.9463885128498077e-13,4.259450912475586e-09,1.1385090762376785e-08,8.005629420280458e-10,6.004892408847809e-06,5.140774875879288e-06,15.89,-13.07,1.758,3480000000.0,0.018
6.041479110717773e-13,5.047449886798859e-13,3.7409144937992095e-09,1.0363949427008628e-08,7.485186010599137e-10,5.997805953025818e-06,6.0102772712707525e-06,15.650000000000002,-14.05,1.745,4010000000.0000005,0.0182
5.660837888717651e-13,5.055136561393738e-13,3.731265127658844e-09,1.1418362581729888e-08,7.987088441848756e-10,4.990375697612763e-06,6.004633128643036e-06,14.74,-12.27,1.741,4380000000.0,0.0158
5.066235333681106e-13,3.9540459513664247e-13,3.0358617305755613e-09,1.0513448336720467e-08,7.468476206064225e-10,5.751866906881333e-06,5.603569269180298e-06,15.16,-13.82,1.763,4260000000.0000005,0.0175
4.944604843854904e-13,2.5374706089496616e-13,2.874797940254211e-09,9.223611214756966e-09,7.998431026935578e-10,5.7482099980115895e-06,5.109659165143967e-06,14.2,-13.86,1.861,4460000000.0,0.0174
6.003897428512573e-13,5.042616188526154e-13,3.700253039598465e-09,1.1381435984373092e-08,6.993904322385789e-10,6.005961954593659e-06,5.149267792701722e-06,15.98,-14.52,1.719,4120000000.0,0.018
6.03757220506668e-13,2.0183479189872743e-13,3.029151201248169e-09,9.469496601819992e-09,7.943621337413789e-10,5.000157237052918e-06,5.99850669503212e-06,13.17,-12.22,1.893,5320000000.0,0.0158
4.3318812400102615e-13,5.061354637145996e-13,3.862262412905693e-09,9.450890296697617e-09,7.011992037296296e-10,6.0103156566619875e-06,5.629781842231751e-06,16.1,-14.900000000000002,1.762,3680000000.0,0.0181
3.048560857772827e-13,5.042439877986908e-13,4.549975633621217e-09,1.1444500172138213e-08,7.010953269898892e-10,5.0009108483791356e-06,6.001183450222016e-06,15.88,-13.36,1.716,3709999999.9999995,0.0158
3.981994181871414e-13,5.084791421890259e-13,3.0245187282562257e-09,9.315697664022446e-09,6.971687667071819e-10,5.74976833164692e-06,5.6465042084455496e-06,15.54,-14.76,1.764,4060000000.0,0.0175
5.145328357815742e-13,2.4495434165000917e-13,3.0074065923690796e-09,8.38442280292511e-09,7.466918736696243e-10,6.006399869918823e-06,5.607222661376e-06,14.470000000000002,-14.83,1.873,4440000000.0,0.0181
4.554147083312273e-13,2.929455250501633e-13,3.802672058343887e-09,8.383774065971376e-09,8.013338088989259e-10,5.750586330890656e-06,5.574809238314629e-06,14.81,-13.47,1.866,3720000000.0,0.0175
4.09671901166439e-13,2.4946828484535216e-13,4.159989714622498e-09,1.143468543291092e-08,5.994017481803894e-10,6.002802908420563e-06,5.6358005851507196e-06,16.58,-16.75,1.764,3990000000.0,0.0181
5.794226288795471e-13,1.9624794721603396e-13,3.599471628665924e-09,9.44548640549183e-09,7.002965599298478e-10,5.506301167886704e-06,5.996893256902695e-06,14.35,-14.81,1.862,4970000000.0,0.017
3.9068076610565186e-13,2.4468832910060883e-13,3.706769287586212e-09,8.396765613555909e-09,7.450115263462067e-10,4.984074831008912e-06,4.977697908878327e-06,14.2,-12.52,1.883,4300000000.0,0.0156
5.099954769015312e-13,4.877581655979157e-13,5.092680454254151e-09,9.442287111282348e-09,6.992529608309269e-10,6.002540588378907e-06,5.997598677873612e-06,16.31,-15.0,1.76,3450000000.0000005,0.0182
3.996377035975456e-13,2.972872257232666e-13,3.2339160442352293e-09,1.1358921074867248e-08,5.983002543449403e-10,6.008957266807556e-06,5.123453825712205e-06,16.53,-16.89,1.744,3889999999.9999995,0.018
3.0083206593990325e-13,2.534711867570877e-13,3.9428537338972095e-09,1.0366110348701477e-08,7.008364416658879e-10,5.2535792142152795e-06,5.485068058595062e-06,15.38,-13.96,1.802,3940000000.0000005,0.0163
4.437828529626131e-13,3.120062679052353e-13,3.6284264624118804e-09,1.0272440613806247e-08,7.486606329679489e-10,5.244090616703034e-06,6.002476274967194e-06,14.95,-13.4,1.787,4170000000.0,0.0164
5.362250447273254e-13,2.9743375927209853e-13,3.868916869163513e-09,1.0368192592263222e-08,8.011829376220705e-10,6.008662462234498e-06,5.114468187093735e-06,15.15,-13.55,1.81,3889999999.9999995,0.018
4.11532486975193e-13,4.022955656051636e-13,4.0026383548975e-09,1.029339043200016e-08,5.999096632003784e-10,5.5049756034277384e-06,5.006074756383896e-06,16.23,-16.76,1.734,4180000000.0,0.0168
5.999025821685791e-13,3.0416339486837386e-13,3.010761022567749e-09,8.372623050212861e-09,5.999646425247193e-10,4.9977046251297e-06,5.43135690689087e-06,14.160000000000002,-16.68,1.81,5900000000.0,0.0157
5.186792761087418e-13,2.5305335223674775e-13,3.1737477779388427e-09,9.344034844636918e-09,6.993551142513753e-10,5.7446919232606895e-06,5.630209058523179e-06,14.79,-14.979999999999999,1.826,4630000000.0,0.0175
4.912112072110175e-13,1.9951768517494203e-13,4.3514148592948915e-09,1.0342850902676582e-08,5.99862003326416e-10,5.262058958411217e-06,4.984283447265626e-06,14.99,-16.39,1.816,5200000000.0,0.0162
3.442067831754684e-13,5.056429743766785e-13,3.810707598924637e-09,9.428020843863487e-09,7.998689591884613e-10,5.253939524292947e-06,6.0124790668487555e-06,15.07,-13.04,1.792,3630000000.0000005,0.0164
4.1777810677886006e-13,2.5374494194984437e-13,4.059322893619538e-09,1.040746437907219e-08,7.002254255115987e-10,6.008852958679199e-06,5.624721013009549e-06,15.84,-14.69,1.803,3829999999.9999995,0.0181
4.90968270599842e-13,3.056059271097183e-13,2.981119394302368e-09,1.027420392036438e-08,7.474439531564714e-10,5.247140198946e-06,5.496552377939224e-06,14.49,-13.45,1.793,4670000000.0,0.0163
2.958209216594696e-13,4.937604129314423e-13,3.809311866760254e-09,9.374793389439584e-09,7.497354865074158e-10,6.009978353977204e-06,5.6259599030017855e-06,15.95,-14.18,1.775,3420000000.0,0.0181
3.105196237564087e-13,2.818073123693466e-13,3.2100321054458616e-09,9.620640465617181e-09,5.986950278282166e-10,5.735858783125878e-06,5.640074163675309e-06,16.14,-16.77,1.777,3970000000.0,0.0175
4.932536199688911e-13,2.436896800994873e-13,4.1587834358215335e-09,1.053674247264862e-08,5.995529055595398e-10,5.250765964388848e-06,5.581281527876854e-06,15.29,-16.19,1.776,5020000000.0,0.0163
5.02950981259346e-13,2.0287953019142151e-13,3.833252012729645e-09,1.032892786860466e-08,5.998371243476868e-10,5.7472647726535805e-06,5.616397649049759e-06,15.449999999999998,-16.81,1.816,4830000000.0,0.0175
6.035583794116974e-13,2.4712544679641726e-13,3.0000908374786374e-09,8.379921340942384e-09,7.4644093811512e-10,6.011801302433014e-06,5.592744119465352e-06,14.21,-14.87,1.873,4720000000.0,0.0181
5.254663378000259e-13,2.0098211765289308e-13,4.118547379970551e-09,1.1432047390937804e-08,7.488280773162843e-10,5.755720376968384e-06,5.61377115547657e-06,15.05,-13.65,1.834,4280000000.0,0.0175
3.9517377018928525e-13,3.9936805963516237e-13,3.945938669145107e-09,9.367423751950264e-09,7.465287357568741e-10,5.506459075491876e-06,6.012178182601929e-06,15.44,-13.88,1.788,3720000000.0,0.017
4.859835639595985e-13,1.9721828103065492e-13,3.6452142000198364e-09,8.389722669124604e-09,8.022262811660768e-10,5.497556272894144e-06,5.544146593660116e-06,14.02,-11.93,1.927,4139999999.9999995,0.0169
4.954991921782493e-13,2.4856884181499484e-13,2.929531216621399e-09,9.31529394686222e-09,8.011306166648866e-10,6.004537999629975e-06,5.091431766748429e-06,14.35,-14.1,1.862,4360000000.0,0.018
4.822533532977104e-13,3.287751480937004e-13,4.2880562543869026e-09,9.201606461405755e-09,7.5001699924469e-10,5.746788173913956e-06,5.641923725605012e-06,15.31,-14.31,1.815,3730000000.0,0.0175
3.609363555908203e-13,2.0673204064369203e-13,3.763181984424591e-09,9.466999286413192e-09,8.026828646659853e-10,5.26631835103035e-06,4.991700053215028e-06,14.24,-12.9,1.902,4060000000.0,0.0162
4.961331367492676e-13,2.991855636239052e-13,4.530823230743409e-09,1.1421361470222472e-08,5.997403502464295e-10,5.257520034909249e-06,5.453375287353993e-06,15.71,-16.25,1.734,4810000000.0,0.0163
6.02992022037506e-13,5.046135246753693e-13,3.0037430524826047e-09,1.0451596194505691e-08,5.970333695411683e-10,6.015429735183716e-06,5.603785477578641e-06,16.03,-17.23,1.716,4550000000.0,0.0181
3.3027219772338865e-13,2.948552176356316e-13,3.8690689951181416e-09,8.349408352375032e-09,7.467107921838761e-10,5.249265283346177e-06,4.9850206375122075e-06,14.72,-13.37,1.858,3930000000.0,0.0162
3.7218225896358486e-13,2.9053501039743425e-13,3.750174939632416e-09,8.509217494726181e-09,7.467350959777832e-10,5.500377264805138e-06,5.558339297771454e-06,14.9,-13.79,1.849,3900000000.0,0.0169
6.042201519012451e-13,3.9566650390625e-13,2.9738820791244507e-09,8.34303721189499e-09,5.998417377471924e-10,5.9926608204841615e-06,5.11267974972725e-06,15.31,-18.0,1.787,4910000000.0,0.018
5.756570756435394e-13,5.054000735282898e-13,3.749709814786911e-09,1.1409604811668396e-08,8.00453543663025e-10,5.50883754901588e-06,5.490662127733231e-06,15.21,-12.69,1.742,4070000000.0000005,0.0169
6.020699143409729e-13,4.976481854915619e-13,4.988373875617982e-09,8.412489169836045e-09,7.016403071582318e-10,6.007472813129426e-06,5.129757761955262e-06,15.92,-15.54,1.796,3550000000.0,0.018
4.632012326270342e-13,4.856572449207306e-13,4.9856232404708866e-09,8.445887768268586e-09,7.000714562833309e-10,4.995673775672913e-06,5.988110423088074e-06,15.1,-14.07,1.801,3840000000.0,0.0158
4.402809854596853e-13,4.0953019857406617e-13,4.05216170847416e-09,1.1419814550876617e-08,7.463249415159226e-10,5.250143513083459e-06,6.002509713172913e-06,15.54,-13.07,1.739,3920000000.0,0.0164
6.079814314842224e-13,3.0442934036254885e-13,5.059080958366394e-09,8.380467796325685e-09,7.015525065362454e-10,5.248700290918351e-06,5.00522592663765e-06,14.71,-14.5,1.842,4199999999.9999995,0.0162
4.648431021720171e-13,2.5151997804641725e-13,3.5541127622127534e-09,9.399469980597496e-09,7.987594366073609e-10,4.99712634086609e-06,5.506029220297933e-06,14.02,-12.58,1.86,4390000000.0,0.0157
5.973960578441619e-13,3.15473572909832e-13,2.984803795814514e-09,1.0154516154527663e-08,5.979703187942505e-10,6.009550452232361e-06,6.001088261604309e-06,15.66,-17.22,1.755,4800000000.0,0.0182
5.460177719593048e-13,3.9451087415218355e-13,4.176710605621339e-09,9.425659874081613e-09,5.994267344474792e-10,5.762546300888062e-06,5.600895091891289e-06,15.97,-17.19,1.754,4450000000.0,0.0175
5.945616334676742e-13,2.489380121231079e-13,5.019949913024903e-09,8.35763522386551e-09,7.988253951072694e-10,5.483359768986702e-06,5.520693536847831e-06,14.6,-12.51,1.891,3550000000.0,0.0169
4.73819350451231e-13,2.446672111749649e-13,3.803606316447258e-09,1.0443796554207801e-08,8.013419628143312e-10,5.002832710742951e-06,5.5119101814925675e-06,14.24,-12.62,1.833,4390000000.0,0.0157
4.1167857348918915e-13,2.514716625213623e-13,4.187565714120865e-09,1.1423901522159575e-08,6.98791665583849e-10,5.741178497672081e-06,5.655367031693459e-06,15.85,-14.18,1.783,3920000000.0,0.0175
3.253278404474258e-13,2.0082831084728243e-13,3.911746516823768e-09,1.0353885689377785e-08,7.506460905075074e-10,5.490271234884858e-06,5.474501034244896e-06,15.02,-13.56,1.856,3920000000.0,0.0169
3.927500680088997e-13,2.5072126984596255e-13,4.0214925706386575e-09,1.035973326265812e-08,6.001065850257874e-10,5.746123895049096e-06,5.632413879036904e-06,16.13,-16.63,1.781,4180000000.0,0.0175
3.8482804298400876e-13,5.035540521144867e-13,3.827997699379921e-09,8.41495197415352e-09,6.998363755643369e-10,4.997257471084596e-06,5.429963320493699e-06,15.01,-14.2,1.806,4079999999.9999995,0.0157
5.035623550415038e-13,2.529449284076691e-13,2.9696050882339478e-09,1.0412764781713485e-08,7.991107642650605e-10,6.000284790992737e-06,6.002564907073975e-06,14.67,-13.63,1.826,4280000000.0,0.0182
3.19538676738739e-13,5.019818484783173e-13,5.0286555290222175e-09,8.401257866621019e-09,7.470041453838349e-10,5.487685933709145e-06,5.59055956453085e-06,15.53,-14.08,1.812,3340000000.0,0.0169
3.7468121051788327e-13,2.9983974993228915e-13,4.684092640876771e-09,1.0385497802495956e-08,7.000599592924118e-10,6.008092761039734e-06,5.10469400882721e-06,16.14,-14.69,1.784,3579999999.9999995,0.018
4.476570589933544e-13,5.037374973297119e-13,3.835193172097206e-09,9.3638100117445e-09,8.000854134559633e-10,6.004133343696595e-06,5.1530435979366305e-06,15.52,-13.87,1.791,3560000000.0,0.018
4.48644972871989e-13,2.541738271713257e-13,3.9183433800935745e-09,1.035772486925125e-08,8.01398003101349e-10,6.006231248378754e-06,5.111312955617906e-06,15.169999999999998,-13.55,1.835,3769999999.9999995,0.018
5.042349994182586e-13,5.061504662036896e-13,2.990358233451843e-09,9.384772816300393e-09,7.476491898298264e-10,5.25070981681347e-06,5.551180854439736e-06,14.62,-13.68,1.78,4520000000.0,0.0163
5.172682911157607e-13,2.9620636701583865e-13,4.074701979756356e-09,1.1400357270240784e-08,7.467183500528337e-10,5.500482841860503e-06,5.4986751955002554e-06,15.3,-13.4,1.769,4170000000.0,0.0169
5.988603472709656e-13,2.4852138459682463e-13,3.766218438744545e-09,1.1425020360946654e-08,7.4817074239254e-10,5.250243052840233e-06,5.5536322891712194e-06,14.53,-13.16,1.792,4840000000.0,0.0163
5.483606457710266e-13,2.0068204998970034e-13,4.644837260246278e-09,8.399269902706147e-09,5.991561651229858e-10,6.009812355041504e-06,5.614405743777753e-06,15.28,-17.9,1.869,4580000000.0,0.0181
5.238030910491943e-13,3.974401772022247e-13,4.046264871954918e-09,9.456374251842498e-09,5.988029599189759e-10,5.758166551589967e-06,5.626669302582741e-06,16.0,-17.11,1.753,4430000000.0,0.0175
6.06671154499054e-13,2.007783591747284e-13,3.7621268928050994e-09,1.1421280288696288e-08,7.453528314828873e-10,5.7510170936584476e-06,5.115000158548356e-06,14.66,-13.72,1.838,4690000000.0,0.0174
5.610855549573898e-13,1.9513339996337892e-13,3.551806181669235e-09,8.376121187210084e-09,8.012832880020143e-10,5.499740820378066e-06,5.364052414894105e-06,13.76,-12.16,1.931,4440000000.0,0.0169
3.6516666412353516e-13,1.9739886522293092e-13,3.6837392151355743e-09,9.454620355367661e-09,5.997146010398865e-10,5.247119545936585e-06,5.562676630914211e-06,15.16,-16.45,1.832,4650000000.0,0.0163
6.061987459659577e-13,2.0077428221702577e-13,4.131565213203431e-09,1.1416619324684143e-08,6.984169028699398e-10,5.505874396767468e-06,5.511494242586196e-06,14.750000000000002,-14.14,1.821,4950000000.0,0.0169
3.9670096188783643e-13,2.4808658063411713e-13,2.98193085193634e-09,9.368278706073762e-09,5.999497175216675e-10,6.011418700218201e-06,5.087959676980973e-06,15.78,-17.34,1.809,4330000000.0,0.018
5.071095362305641e-13,2.595248430967331e-13,4.090205907821656e-09,1.0146613539755345e-08,6.00659453868866e-10,5.495921374764294e-06,6.002176582813263e-06,15.58,-16.58,1.773,4790000000.0,0.017
4.857503145933151e-13,1.9434763789176943e-13,3.6622740626335143e-09,9.547719159722328e-09,7.499769866466523e-10,5.493485761340708e-06,5.528907522559167e-06,14.37,-14.06,1.879,4470000000.0,0.0169
6.044386625289916e-13,2.045834392309189e-13,3.852119445800782e-09,1.0169115798175334e-08,5.995032787322998e-10,5.748646125197411e-06,5.119201570749283e-06,15.030000000000001,-17.08,1.823,5250000000.0,0.0174
2.99520081281662e-13,2.3179897367954256e-13,3.7231916785240173e-09,8.781668955087662e-09,5.991855502128601e-10,4.996155917644501e-06,5.5542983114719395e-06,15.060000000000002,-16.12,1.827,4570000000.0,0.0157
5.995781600475311e-13,4.980999767780304e-13,3.004278182983398e-09,8.350454592704775e-09,5.986779570579529e-10,5.501191164832563e-06,5.456138819456101e-06,15.04,-17.28,1.772,5170000000.0,0.0169
4.4638093532994386e-13,3.9509188532829285e-13,3.906833343207836e-09,9.413965710997581e-09,5.989372849464417e-10,5.498688901308925e-06,5.516868382692337e-06,15.92,-16.72,1.756,4360000000.0,0.0169
4.0253933072090146e-13,3.0260970294475555e-13,4.066701412200928e-09,1.1384307825565337e-08,5.995818734169007e-10,5.250806301832199e-06,5.438480712473393e-06,16.04,-16.19,1.734,4350000000.0,0.0163
3.017864942550659e-13,1.9732767939567566e-13,3.809088379144669e-09,9.44454691708088e-09,5.992135405540467e-10,5.249142855405808e-06,5.5314730182290085e-06,15.35,-16.39,1.832,4420000000.0,0.0163
3.5812841355800626e-13,2.0200899243354798e-13,3.753789365291596e-09,9.41895448565483e-09,7.424052447080612e-10,5.490498097613455e-06,5.492289781570435e-06,14.72,-14.05,1.879,4060000000.0,0.0169
4.106116846203804e-13,3.955735385417938e-13,4.057161763310433e-09,8.340971553325653e-09,5.995572447776795e-10,6.003890037536621e-06,5.113819420337678e-06,16.24,-17.75,1.787,3959999999.9999995,0.018
6.053160488605499e-13,5.074205458164216e-13,4.0228474587202075e-09,1.1411439263820647e-08,7.485785335302353e-10,5.253003761172295e-06,5.500636415556074e-06,15.18,-13.13,1.731,4410000000.0,0.0163
3.777426704764366e-13,1.966460943222046e-13,4.978061199188233e-09,9.460637533664704e-09,8.014122366905214e-10,5.4990422963164755e-06,5.430221229791642e-06,14.68,-13.33,1.898,3600000000.0,0.0169
5.986699283123017e-13,2.9982983469963073e-13,3.034782409667969e-09,1.041927749812603e-08,7.499954491853714e-10,4.995852649211884e-06,5.502541376277805e-06,13.98,-13.27,1.792,5210000000.0,0.0157
6.041889667510986e-13,2.5474513769149784e-13,2.989371299743652e-09,9.301122406125068e-09,8.008286595344545e-10,6.000998973846436e-06,5.0880205929279335e-06,14.129999999999999,-14.22,1.859,4620000000.0,0.018
5.992408454418182e-13,3.987437665462494e-13,3.0026088953018187e-09,9.394769275188446e-09,7.999642074108124e-10,5.253650233149529e-06,5.502822617068887e-06,13.990000000000002,-13.26,1.808,4770000000.0,0.0163
3.2616504728794097e-13,2.9977990090847015e-13,4.354742288589478e-09,1.0406329402327537e-08,7.474573522806168e-10,5.493396695237607e-06,5.505718082189561e-06,15.52,-13.49,1.79,3660000000.0,0.0169
5.039762333035468e-13,4.848988056182861e-13,2.9926629066467283e-09,1.0519952112436294e-08,5.987382292747498e-10,6.008201777935028e-06,5.064176350831986e-06,16.31,-17.33,1.72,4230000000.0,0.018
2.9996418356895446e-13,2.9627791941165925e-13,3.758625626564026e-09,8.363639259338379e-09,5.969635128974915e-10,5.006056994199753e-06,6.00594311952591e-06,15.33,-16.27,1.807,4320000000.0,0.0158
3.0557088553905485e-13,2.4987492561340334e-13,3.7427001297473905e-09,8.37911435365677e-09,6.000876307487488e-10,5.996893018484116e-06,5.992006391286851e-06,16.01,-17.45,1.827,3920000000.0,0.0182
2.919041633605957e-13,3.8980830013751985e-13,3.96274983137846e-09,1.0515683019161225e-08,6.966083884239197e-10,6.001903891563416e-06,5.649560704827309e-06,16.35,-14.42,1.751,3459999999.9999995,0.0181
2.9741705060005185e-13,4.831732869148255e-13,2.9383482933044434e-09,9.390974351763725e-09,8.018033742904665e-10,5.5028309370391075e-06,5.535396508872509e-06,14.859999999999998,-13.19,1.796,3880000000.0000005,0.0169
